datetime,open,high,low,close,volume
2025-10-13 07:15:00,203.75,209.2,193.0,193.5,24600
2025-10-13 07:30:00,193.85,210.65,193.85,201.1,31350
2025-10-13 07:45:00,201.1,208.65,198.0,208.45,18450
2025-10-13 08:00:00,208.45,208.45,193.15,202.55,12375
2025-10-13 08:15:00,202.55,205.5,196.55,204.0,22800
2025-10-13 08:30:00,200.8,202.45,187.0,193.55,32475
2025-10-13 08:45:00,191.3,193.3,162.65,167.4,65100
2025-10-13 09:00:00,167.4,174.0,161.0,166.2,81375
2025-10-13 09:15:00,169.2,172.05,163.4,168.6,30975
2025-10-13 09:30:00,169.45,184.6,169.45,178.55,72150
2025-10-13 09:45:00,179.1,179.7,166.1,169.9,109650
2025-10-14 03:45:00,157.95,158.45,130.15,136.45,635175
2025-10-14 04:00:00,136.0,171.35,133.6,168.8,583425
2025-10-14 04:15:00,168.75,183.2,157.2,178.95,314250
2025-10-14 04:30:00,179.3,214.7,170.4,195.9,367125
2025-10-14 04:45:00,199.35,221.65,186.45,190.6,157425
2025-10-14 05:00:00,191.0,200.65,182.4,183.9,70500
2025-10-14 05:15:00,183.85,197.85,170.35,194.45,128250
2025-10-14 05:30:00,194.2,228.55,194.15,213.7,154350
2025-10-14 05:45:00,215.0,261.8,215.0,245.15,177975
2025-10-14 06:00:00,246.4,259.65,231.45,242.6,44400
2025-10-14 06:15:00,242.6,255.3,229.15,233.55,30975
2025-10-14 06:30:00,232.05,273.5,228.0,261.45,81075
2025-10-14 06:45:00,263.4,285.75,253.6,284.9,86175
2025-10-14 07:00:00,280.15,304.0,271.5,296.95,85575
2025-10-14 07:15:00,296.95,298.75,273.35,281.05,32850
2025-10-14 07:30:00,281.05,305.0,276.05,290.95,39300
2025-10-14 07:45:00,290.95,298.0,283.2,283.2,15525
2025-10-14 08:00:00,281.2,281.2,253.95,264.75,27450
2025-10-14 08:15:00,264.55,277.25,257.3,261.9,19200
2025-10-14 08:30:00,261.15,270.0,244.4,259.65,31050
2025-10-14 08:45:00,259.65,270.05,232.9,238.7,47175
2025-10-14 09:00:00,238.2,238.2,200.0,215.3,119175
2025-10-14 09:15:00,214.5,232.95,207.0,219.2,54900
2025-10-14 09:30:00,218.9,239.1,216.4,233.25,62475
2025-10-14 09:45:00,233.3,255.6,226.6,252.45,160950
2025-10-15 03:45:00,150.0,210.0,124.3,126.4,3125475
2025-10-15 04:00:00,126.7,152.1,119.75,146.05,5187975
2025-10-15 04:15:00,146.15,157.95,136.85,153.65,3759900
2025-10-15 04:30:00,153.1,156.3,127.55,127.8,2099775
2025-10-15 04:45:00,128.25,129.0,109.0,112.5,2886900
2025-10-15 05:00:00,111.5,112.5,101.55,104.45,3281775
2025-10-15 05:15:00,104.35,110.6,92.0,93.9,5183475
2025-10-15 05:30:00,93.7,105.0,92.2,102.85,5109225
2025-10-15 05:45:00,103.0,104.45,86.85,90.25,3606525
2025-10-15 06:00:00,90.15,99.35,90.05,95.75,3935475
2025-10-15 06:15:00,95.8,102.35,91.9,94.55,4148475
2025-10-15 06:30:00,94.6,101.1,92.75,100.5,3651000
2025-10-15 06:45:00,100.35,105.75,94.7,95.4,4628625
2025-10-15 07:00:00,95.55,98.35,88.3,88.8,3589050
2025-10-15 07:15:00,88.95,91.85,82.8,84.3,4401900
2025-10-15 07:30:00,84.0,88.45,83.25,87.9,4137375
2025-10-15 07:45:00,87.45,87.6,75.55,79.1,7859925
2025-10-15 08:00:00,79.05,80.15,74.4,79.95,5964225
2025-10-15 08:15:00,79.95,87.3,77.65,86.1,8025525
2025-10-15 08:30:00,86.35,91.35,84.25,87.95,9274800
2025-10-15 08:45:00,87.75,90.5,81.25,83.85,5804100
2025-10-15 09:00:00,83.65,88.35,80.85,84.55,5556375
2025-10-15 09:15:00,84.95,95.3,83.4,89.6,9758925
2025-10-15 09:30:00,89.3,94.2,82.55,84.6,7036575
2025-10-15 09:45:00,85.15,86.8,81.45,83.2,5803650
2025-10-16 03:45:00,67.0,67.0,46.85,49.0,11878050
2025-10-16 04:00:00,48.8,57.0,46.05,49.3,6993225
2025-10-16 04:15:00,49.1,52.4,45.3,49.15,4893825
2025-10-16 04:30:00,49.2,53.8,46.15,52.85,3531600
2025-10-16 04:45:00,52.8,55.1,43.4,45.6,5477250
2025-10-16 05:00:00,45.4,45.8,42.5,44.4,2480700
2025-10-16 05:15:00,44.3,45.05,42.05,42.25,2252700
2025-10-16 05:30:00,42.3,44.05,40.55,43.75,1664700
2025-10-16 05:45:00,44.0,44.9,42.55,42.9,1265550
2025-10-16 06:00:00,42.85,45.0,40.3,44.45,1910775
2025-10-16 06:15:00,44.5,45.75,41.05,42.2,2177925
2025-10-16 06:30:00,42.1,42.7,36.4,36.65,1948800
2025-10-16 06:45:00,36.45,37.55,34.8,35.15,3963600
2025-10-16 07:00:00,35.2,35.85,33.85,35.25,4495200
2025-10-16 07:15:00,35.35,36.05,33.65,33.95,2294625
2025-10-16 07:30:00,34.1,34.5,32.6,32.75,1540800
2025-10-16 07:45:00,32.7,33.75,31.3,32.35,2144625
2025-10-16 08:00:00,32.25,33.1,30.15,30.75,2268525
2025-10-16 08:15:00,30.8,32.0,30.7,31.8,2181525
2025-10-16 08:30:00,31.75,31.75,28.4,28.7,2472675
2025-10-16 08:45:00,28.7,30.55,27.1,27.5,2323350
2025-10-16 09:00:00,27.4,27.7,25.25,25.8,3688650
2025-10-16 09:15:00,26.05,27.95,25.0,26.05,2459325
2025-10-16 09:30:00,25.95,28.2,24.75,25.65,4534575
2025-10-16 09:45:00,25.7,27.1,24.6,25.25,4885650
2025-10-17 03:45:00,30.3,30.95,20.3,20.4,12742275
2025-10-17 04:00:00,20.55,21.25,16.9,16.95,6427575
2025-10-17 04:15:00,17.05,25.0,16.8,19.75,8628750
2025-10-17 04:30:00,19.7,19.85,15.85,16.25,6606825
2025-10-17 04:45:00,16.35,16.75,15.65,16.0,2779350
2025-10-17 05:00:00,16.15,16.2,14.55,14.8,2877825
2025-10-17 05:15:00,14.75,15.0,11.9,11.95,4244625
2025-10-17 05:30:00,11.95,13.05,11.6,12.9,4589925
2025-10-17 05:45:00,12.95,13.0,11.6,11.85,2924475
2025-10-17 06:00:00,11.75,12.55,11.75,12.05,2144475
2025-10-17 06:15:00,12.1,13.2,11.9,12.8,1416525
