datetime,open,high,low,close,volume
2025-10-10 09:15:00,36.15,36.3,35.6,36.25,12750
2025-10-10 09:30:00,36.25,37.25,35.35,37.25,37500
2025-10-10 09:45:00,37.25,37.25,36.35,36.5,34500
2025-10-13 03:45:00,34.5,35.45,33.4,33.4,61500
2025-10-13 04:00:00,33.4,35.95,32.0,35.15,35250
2025-10-13 04:15:00,36.35,40.5,36.35,40.1,116250
2025-10-13 04:30:00,40.1,40.25,39.1,40.25,44250
2025-10-13 04:45:00,40.6,41.8,40.5,41.15,83250
2025-10-13 05:00:00,41.15,42.2,40.5,42.2,60750
2025-10-13 05:15:00,42.2,42.2,39.5,39.7,38250
2025-10-13 05:30:00,39.7,41.5,39.7,41.5,16500
2025-10-13 05:45:00,41.5,41.5,39.4,39.4,7500
2025-10-13 06:00:00,39.4,39.65,38.4,39.3,15750
2025-10-13 06:15:00,39.3,40.1,39.3,39.85,11250
2025-10-13 06:30:00,39.85,40.35,39.75,39.8,12750
2025-10-13 06:45:00,39.8,39.8,39.25,39.5,3000
2025-10-13 07:00:00,39.5,39.5,38.85,39.3,2250
2025-10-13 07:15:00,39.3,39.3,39.1,39.3,1500
2025-10-13 07:30:00,39.3,39.3,38.9,39.15,1500
2025-10-13 07:45:00,39.15,39.4,39.0,39.0,6000
2025-10-13 08:00:00,39.0,39.0,39.0,39.0,750
2025-10-13 08:15:00,39.0,39.0,36.8,36.8,7500
2025-10-13 08:30:00,36.8,38.1,36.8,37.0,22500
2025-10-13 08:45:00,37.0,39.15,37.0,39.15,7500
2025-10-13 09:00:00,39.15,39.15,38.5,38.5,750
2025-10-13 09:15:00,38.5,38.5,37.1,38.2,7500
2025-10-13 09:30:00,38.2,38.2,37.0,37.3,43500
2025-10-13 09:45:00,37.3,37.5,37.15,37.5,10500
2025-10-14 03:45:00,38.0,38.0,35.0,35.3,32250
2025-10-14 04:00:00,36.5,36.6,35.0,35.05,36750
2025-10-14 04:15:00,35.05,35.1,33.95,33.95,11250
2025-10-14 04:30:00,33.95,34.45,33.2,34.45,33000
2025-10-14 04:45:00,34.45,34.45,32.75,33.3,20250
2025-10-14 05:00:00,33.3,33.35,32.5,32.85,7500
2025-10-14 05:15:00,32.85,34.0,32.85,33.5,7500
2025-10-14 05:30:00,33.5,33.5,31.4,31.95,18750
2025-10-14 05:45:00,31.95,32.25,28.9,29.9,49500
2025-10-14 06:00:00,29.9,30.1,29.8,29.8,5250
2025-10-14 06:15:00,29.8,32.1,29.8,32.0,31500
2025-10-14 06:30:00,32.0,32.0,30.45,30.45,7500
2025-10-14 06:45:00,30.45,30.8,30.1,30.75,12000
2025-10-14 07:00:00,30.75,31.0,30.1,30.65,11250
2025-10-14 07:15:00,30.65,30.65,30.5,30.65,1500
2025-10-14 07:30:00,30.65,30.65,29.0,29.1,17250
2025-10-14 07:45:00,29.1,29.6,28.8,29.2,63750
2025-10-14 08:00:00,29.2,30.2,29.2,30.0,10500
2025-10-14 08:15:00,30.0,30.0,28.4,29.05,27000
2025-10-14 08:30:00,29.05,29.5,28.5,28.5,5250
2025-10-14 08:45:00,28.5,30.0,28.5,30.0,2250
2025-10-14 09:00:00,30.0,31.75,30.0,31.35,11250
2025-10-14 09:15:00,31.35,31.85,31.35,31.85,9000
2025-10-14 09:30:00,31.85,31.85,31.65,31.65,1500
2025-10-14 09:45:00,31.65,32.15,31.0,31.1,12750
